event_id,video_filename,track_id_combination,bee_a_detection_ids,bee_b_detection_ids,timestamps,frame_ids,cam_id,human_decidable_interaction,trophallaxis_observed,bee_a_is_donor,trophallaxis_start_frame_nr,trophallaxis_end_frame_nr,comments
5290d764-e8e2-4026-9f1e-902baf0d36be,5290d764-e8e2-4026-9f1e-902baf0d36be.mp4,"('f6c74a2b-7f2b-4735-8181-cece4042312a', '4cb58682-4e7c-4f5f-a7e9-7b7dc76274a2')","['f9704305047671230781d73c0', 'f10727025970525605165d74c0', 'f15472013485138713387d73c0', 'f18368199417912785260d74c0', 'f14246966761495529870d75c0', 'f13024018137337675762d78c0', 'f11900950298325644434d78c0', 'f16902066148387656543d77c0']","['f9704305047671230781d87c0', 'f10727025970525605165d88c0', 'f15472013485138713387d88c0', 'f18368199417912785260d89c0', 'f14246966761495529870d88c0', 'f13024018137337675762d92c0', 'f11900950298325644434d92c0', 'f16902066148387656543d95c0']","[1468932346.789229, 1468932347.121116, 1468932347.453325, 1468932347.785402, 1468932348.11774, 1468932348.449889, 1468932348.782073, 1468932349.114597]","['9704305047671230781', '10727025970525605165', '15472013485138713387', '18368199417912785260', '14246966761495529870', '13024018137337675762', '11900950298325644434', '16902066148387656543']",0,y,y,y,1,1,
b7af537f-6898-474c-8b14-5b2a7ee435c0,b7af537f-6898-474c-8b14-5b2a7ee435c0.mp4,"('62601afd-164b-40f2-8930-fc23d6bd1d78', '4ed4bb09-a4ce-4787-8d3f-a6f13d5528a6')","['f16175888277501806607d25c0', 'f12825765645972305088d24c0', 'f11399136169281854696d24c0', 'f11819023028208307603d27c0', 'f14836064310861393473d25c0', 'f14401366838029402005d27c0', 'f14342807502972624138d26c0', 'f16865366426288697713d27c0']","['f16175888277501806607d32c0', 'f12825765645972305088d29c0', 'f11399136169281854696d32c0', 'f11819023028208307603d32c0', 'f14836064310861393473d31c0', 'f14401366838029402005d30c0', 'f14342807502972624138d30c0', 'f16865366426288697713d29c0']","[1468932737.463507, 1468932737.795562, 1468932738.127591, 1468932738.460072, 1468932738.792464, 1468932739.12445, 1468932739.456603, 1468932739.789041]","['16175888277501806607', '12825765645972305088', '11399136169281854696', '11819023028208307603', '14836064310861393473', '14401366838029402005', '14342807502972624138', '16865366426288697713']",0,y,n,,,,
1ec8065b-d165-4174-bcff-e3acf4aeacb1,1ec8065b-d165-4174-bcff-e3acf4aeacb1.mp4,"('1230c5ca-20c1-446c-9ac1-0b2616b11874', 'bae18ff4-1638-4e29-a11d-a0bbd114fd9b')","['f16255314310788141551d96c0', 'f13539470859053464588d94c0', 'f14861019304612045513d94c0', 'f11765033160633999406d96c0', 'f12678492005948482020d100c0', 'f10439064454616285028d98c0', 'f11505021834605071066d98c0']","['f16255314310788141551d103c0', 'f13539470859053464588d101c0', 'f14861019304612045513d103c0', 'f11765033160633999406d104c0', 'f12678492005948482020d106c0', 'f10439064454616285028d105c0', 'f11505021834605071066d105c0']","[1468932164.73979, 1468932165.071787, 1468932165.404377, 1468932165.736509, 1468932166.400555, 1468932167.065195, 1468932167.397183]","['16255314310788141551', '13539470859053464588', '14861019304612045513', '11765033160633999406', '12678492005948482020', '10439064454616285028', '11505021834605071066']",0,y,n,,,,
d57a81c3-3032-47a6-866f-3d809212666b,d57a81c3-3032-47a6-866f-3d809212666b.mp4,"('729b44e4-46cc-4b32-bfa1-b3bc02afd6df', 'eef7da82-50c9-4a58-a7ea-e3a8effff317')","['f11150216867026521724d30c0', 'f9527224889656970488d29c0', 'f10941126065894932223d28c0', 'f10739331211483026818d29c0', 'f13618691642587022050d28c0', 'f10593238528124459186d30c0', 'f13930839985185129173d28c0', 'f13247755024090038374d25c0', 'f13061918644048454306d27c0', 'f10604097982370368226d27c0', 'f12055075682115324365d25c0', 'f12657905454543463166d24c0', 'f13598757503089945458d24c0', 'f11828546085023863496d25c0', 'f12221223479686871357d28c0', 'f13172799913270703073d27c0', 'f9931312310685786041d27c0', 'f12701900283887945727d28c0', 'f10768346016876989632d27c0']","['f11150216867026521724d25c0', 'f9527224889656970488d24c0', 'f10941126065894932223d23c0', 'f10739331211483026818d23c0', 'f13618691642587022050d23c0', 'f10593238528124459186d24c0', 'f13930839985185129173d23c0', 'f13247755024090038374d21c0', 'f13061918644048454306d23c0', 'f10604097982370368226d24c0', 'f12055075682115324365d22c0', 'f12657905454543463166d21c0', 'f13598757503089945458d21c0', 'f11828546085023863496d22c0', 'f12221223479686871357d23c0', 'f13172799913270703073d22c0', 'f9931312310685786041d22c0', 'f12701900283887945727d23c0', 'f10768346016876989632d22c0']","[1468934327.402162, 1468934327.734269, 1468934328.066631, 1468934328.398708, 1468934328.730979, 1468934329.063292, 1468934329.395413, 1468934329.727454, 1468934330.059756, 1468934330.391951, 1468934330.723787, 1468934331.056399, 1468934331.38868, 1468934331.720871, 1468934332.053074, 1468934332.385008, 1468934332.716964, 1468934333.049655, 1468934333.381792]","['11150216867026521724', '9527224889656970488', '10941126065894932223', '10739331211483026818', '13618691642587022050', '10593238528124459186', '13930839985185129173', '13247755024090038374', '13061918644048454306', '10604097982370368226', '12055075682115324365', '12657905454543463166', '13598757503089945458', '11828546085023863496', '12221223479686871357', '13172799913270703073', '9931312310685786041', '12701900283887945727', '10768346016876989632']",0,y,n,,,,
b77d46b5-8a52-444e-b666-036e8b24487e,b77d46b5-8a52-444e-b666-036e8b24487e.mp4,"('729b44e4-46cc-4b32-bfa1-b3bc02afd6df', 'eef7da82-50c9-4a58-a7ea-e3a8effff317')","['f13370211812266184506d27c0', 'f12809239667077490591d27c0', 'f18190110054964717551d26c0', 'f16571020114159331073d28c0', 'f16397126853173312376d27c0', 'f14434619034276350456d27c0', 'f9704893387983458139d26c0', 'f16306788543529916128d27c0', 'f10600520032268983569d27c0']","['f13370211812266184506d22c0', 'f12809239667077490591d22c0', 'f18190110054964717551d21c0', 'f16571020114159331073d22c0', 'f16397126853173312376d22c0', 'f14434619034276350456d21c0', 'f9704893387983458139d20c0', 'f16306788543529916128d20c0', 'f10600520032268983569d21c0']","[1468934334.710465, 1468934335.042663, 1468934335.375065, 1468934335.707358, 1468934336.041145, 1468934336.37166, 1468934336.70469, 1468934337.036935, 1468934337.368024]","['13370211812266184506', '12809239667077490591', '18190110054964717551', '16571020114159331073', '16397126853173312376', '14434619034276350456', '9704893387983458139', '16306788543529916128', '10600520032268983569']",0,y,n,,,,
7496f639-9df4-44a8-b6c6-01daed9b44b4,7496f639-9df4-44a8-b6c6-01daed9b44b4.mp4,"('e3b17ef2-f265-4876-8057-06d7115148cc', '88a24c29-8d0a-4e4f-939b-14e5bf005bab')","['f17608545069598454349d79c0', 'f13574728450277570432d82c0', 'f9596753457956711449d82c0', 'f15249490864893120145d81c0', 'f13663451278813825565d80c0', 'f14556534924943064526d78c0', 'f10567489510655960854d82c0', 'f18303979251380107476d81c0', 'f15805781096436114355d83c0', 'f12802857972919307693d85c0', 'f11952326856695983701d85c0']","['f17608545069598454349d72c0', 'f13574728450277570432d75c0', 'f9596753457956711449d75c0', 'f15249490864893120145d74c0', 'f13663451278813825565d73c0', 'f14556534924943064526d74c0', 'f10567489510655960854d76c0', 'f18303979251380107476d75c0', 'f15805781096436114355d75c0', 'f12802857972919307693d77c0', 'f11952326856695983701d79c0']","[1468933153.717673, 1468933154.050072, 1468933154.382352, 1468933154.714323, 1468933155.046566, 1468933155.378551, 1468933155.71076, 1468933156.043173, 1468933156.375588, 1468933156.707571, 1468933157.039893]","['17608545069598454349', '13574728450277570432', '9596753457956711449', '15249490864893120145', '13663451278813825565', '14556534924943064526', '10567489510655960854', '18303979251380107476', '15805781096436114355', '12802857972919307693', '11952326856695983701']",0,y,n,,,,
eef50c11-6e6c-4596-a3ce-68bd66a5c5ff,eef50c11-6e6c-4596-a3ce-68bd66a5c5ff.mp4,"('e3b17ef2-f265-4876-8057-06d7115148cc', 'd5fc2716-f123-4042-8452-89a4a5bfe592')","['f16075092426441020895d66c0', 'f11691270625779316923d64c0', 'f10351869080412502534d59c0', 'f15996680450354360146d59c0', 'f15354738135308038465d63c0', 'f11017459855343245145d63c0', 'f16059420641267895652d62c0', 'f10471419076754726820d64c0', 'f12309049934103304444d64c0', 'f16922567449727353135d63c0']","['f16075092426441020895d67c0', 'f11691270625779316923d66c0', 'f10351869080412502534d64c0', 'f15996680450354360146d64c0', 'f15354738135308038465d68c0', 'f11017459855343245145d67c0', 'f16059420641267895652d67c0', 'f10471419076754726820d68c0', 'f12309049934103304444d67c0', 'f16922567449727353135d70c0']","[1468933256.037233, 1468933256.369387, 1468933256.70145, 1468933257.033731, 1468933257.366222, 1468933257.698108, 1468933258.030495, 1468933258.362763, 1468933258.69484, 1468933259.026576]","['16075092426441020895', '11691270625779316923', '10351869080412502534', '15996680450354360146', '15354738135308038465', '11017459855343245145', '16059420641267895652', '10471419076754726820', '12309049934103304444', '16922567449727353135']",0,y,n,,,,
7c0e21d9-66a8-4603-a36f-d975fdff691e,7c0e21d9-66a8-4603-a36f-d975fdff691e.mp4,"('dfd2d6b4-2269-4092-ba85-f006d9d71de8', '7ee5ea3d-c4b5-4221-af03-d09d47f50386')","['f14672902520026551216d97c0', 'f13125387577848028121d94c0', 'f11665006455335145319d95c0', 'f11277516183437973054d92c0', 'f16811917497873587828d91c0', 'f12415303335459909118d93c0', 'f15266141632512598350d93c0', 'f13993707236579715673d94c0', 'f16035437141102358381d94c0', 'f14893812091407412503d93c0', 'f16933756527682102106d92c0', 'f11103124339077272892d90c0', 'f13793107187131911897d89c0']","['f14672902520026551216d100c0', 'f13125387577848028121d97c0', 'f11665006455335145319d99c0', 'f11277516183437973054d99c0', 'f16811917497873587828d96c0', 'f12415303335459909118d100c0', 'f15266141632512598350d98c0', 'f13993707236579715673d99c0', 'f16035437141102358381d99c0', 'f14893812091407412503d97c0', 'f16933756527682102106d97c0', 'f11103124339077272892d95c0', 'f13793107187131911897d93c0']","[1468934158.309129, 1468934158.641093, 1468934158.97352, 1468934159.305775, 1468934159.637712, 1468934159.969868, 1468934160.302211, 1468934160.634304, 1468934160.9667, 1468934161.298824, 1468934161.630845, 1468934161.963296, 1468934162.295445]","['14672902520026551216', '13125387577848028121', '11665006455335145319', '11277516183437973054', '16811917497873587828', '12415303335459909118', '15266141632512598350', '13993707236579715673', '16035437141102358381', '14893812091407412503', '16933756527682102106', '11103124339077272892', '13793107187131911897']",0,y,n,,,,
92775146-e4eb-4bf3-b15d-a32eb9e1c3de,92775146-e4eb-4bf3-b15d-a32eb9e1c3de.mp4,"('dfd2d6b4-2269-4092-ba85-f006d9d71de8', '90b97150-fbd7-404d-887f-b7d7b32b21e0')","['f15739200475231580498d61c0', 'f13688185665673156352d64c0', 'f13427268351034112756d61c0', 'f18010675537319054609d59c0', 'f9503851325285062189d60c0', 'f9370471894252232181d59c0', 'f10441114945314077343d64c0', 'f9832279451484544505d62c0', 'f12886417572019482987d62c0', 'f14168965056436811499d62c0', 'f12377526464145613304d62c0', 'f12762598151810634970d61c0', 'f10352590909120299131d60c0', 'f16789405079435754041d62c0', 'f10836158233603783758d61c0', 'f9383452938041649211d63c0', 'f13344288062777972759d66c0', 'f14851895056043460094d65c0', 'f10532618536489495341d64c0', 'f16340110672881611252d63c0', 'f9335982186537123489d66c0', 'f12213736581027438272d65c0', 'f13226821756050530502d63c0', 'f9479472804840588908d63c0', 'f9335470377533319273d64c0', 'f15400670556114834958d64c0']","['f15739200475231580498d60c0', 'f13688185665673156352d63c0', 'f13427268351034112756d60c0', 'f18010675537319054609d58c0', 'f9503851325285062189d59c0', 'f9370471894252232181d58c0', 'f10441114945314077343d63c0', 'f9832279451484544505d61c0', 'f12886417572019482987d61c0', 'f14168965056436811499d61c0', 'f12377526464145613304d61c0', 'f12762598151810634970d60c0', 'f10352590909120299131d59c0', 'f16789405079435754041d61c0', 'f10836158233603783758d60c0', 'f9383452938041649211d62c0', 'f13344288062777972759d65c0', 'f14851895056043460094d64c0', 'f10532618536489495341d63c0', 'f16340110672881611252d62c0', 'f9335982186537123489d65c0', 'f12213736581027438272d64c0', 'f13226821756050530502d62c0', 'f9479472804840588908d62c0', 'f9335470377533319273d63c0', 'f15400670556114834958d63c0']","[1468933988.884172, 1468933989.21594, 1468933989.548571, 1468933989.880319, 1468933990.212887, 1468933990.544968, 1468933990.877241, 1468933991.209393, 1468933991.541811, 1468933991.873881, 1468933992.206, 1468933992.538187, 1468933992.870513, 1468933993.202721, 1468933993.534745, 1468933993.866937, 1468933994.19942, 1468933994.531689, 1468933994.863632, 1468933995.196077, 1468933995.528253, 1468933995.860574, 1468933996.193325, 1468933996.524848, 1468933996.85683, 1468933997.189066]","['15739200475231580498', '13688185665673156352', '13427268351034112756', '18010675537319054609', '9503851325285062189', '9370471894252232181', '10441114945314077343', '9832279451484544505', '12886417572019482987', '14168965056436811499', '12377526464145613304', '12762598151810634970', '10352590909120299131', '16789405079435754041', '10836158233603783758', '9383452938041649211', '13344288062777972759', '14851895056043460094', '10532618536489495341', '16340110672881611252', '9335982186537123489', '12213736581027438272', '13226821756050530502', '9479472804840588908', '9335470377533319273', '15400670556114834958']",0,y,y,y,6,14,"hard to see, not sure"
1520bf8b-ca2f-409a-9e2e-26b878426a5f,1520bf8b-ca2f-409a-9e2e-26b878426a5f.mp4,"('dfd2d6b4-2269-4092-ba85-f006d9d71de8', '8a5c6854-aaef-4aee-8ff4-bd6619ca4a5f')","['f15548296755550892461d51c0', 'f15870557633898451002d51c0', 'f14945045728689059625d52c0', 'f16024232100814779823d53c0', 'f13907158908230506257d54c0', 'f14297991714946657853d53c0', 'f14037723084837998725d53c0', 'f16366098197415811732d52c0', 'f14295943485407192371d53c0', 'f13028149816462911020d51c0', 'f18147540003621198832d53c0', 'f14220505661474714420d54c0', 'f11004745625537655387d54c0', 'f16216255605127336373d55c0', 'f15470299640708120729d56c0', 'f18078583483845496091d58c0', 'f10825954228372956996d59c0', 'f17724705222914411533d59c0', 'f12856713810941990148d60c0', 'f16738986109855282170d61c0', 'f16622842805154206378d59c0', 'f13028338026179786943d60c0', 'f10712351111666438147d58c0', 'f12953049351117916936d58c0', 'f17490817129961135107d58c0', 'f9487823543526729428d61c0', 'f12369776301543413598d58c0', 'f17913639426036115771d59c0', 'f17996144359157988514d61c0', 'f12983187826109170967d61c0', 'f10741954781652427349d58c0', 'f14698773963066980093d59c0', 'f15044374906625862913d58c0', 'f14543149890444230292d59c0', 'f11254914755469618752d58c0', 'f11194783598273534598d58c0', 'f11406612649056490176d57c0', 'f9710168740353337955d59c0', 'f10493155176353918789d57c0', 'f16157229489580884307d57c0', 'f12754835264562424054d57c0', 'f18174444419603018447d59c0', 'f10790898210810572346d58c0', 'f16434494777776430876d56c0', 'f14587783646543698206d55c0', 'f15449338737104184642d55c0', 'f9652524334172725732d59c0', 'f15421966478105499397d54c0', 'f9477239143707082255d53c0', 'f11304776110458479789d54c0', 'f11283556443247850830d53c0', 'f17330738617016383238d55c0', 'f16442352238265396068d54c0', 'f13232428167590758641d54c0', 'f9630025440405455035d53c0', 'f10732320950419372308d52c0', 'f14544024221626825690d53c0', 'f16359905686524890028d54c0', 'f9856456626913956869d54c0', 'f14655585044194516714d55c0', 'f17391701407082978603d54c0', 'f13703987523037917812d55c0', 'f9426000833148019826d56c0', 'f16427768820614551120d57c0', 'f9489607043854136673d54c0', 'f9479189532615875390d56c0', 'f13916270719763052889d58c0', 'f13147976720012859734d61c0', 'f17550344380050130033d62c0', 'f11531668489471609011d59c0', 'f17565811292479092551d58c0', 'f13668495686408195450d59c0', 'f13029086535800686298d57c0', 'f12525049740044888737d61c0', 'f15496918078893127611d58c0', 'f12887746531311707793d60c0', 'f13014819610575499542d57c0', 'f16860333076868385907d57c0', 'f18323826532076491044d58c0', 'f15521376852727190478d56c0', 'f13164559272269659256d57c0', 'f13707337293015627576d58c0', 'f9863619935271975090d59c0', 'f14465421494499165918d57c0', 'f17685360248834011520d59c0', 'f17797008486400364789d60c0', 'f11089165422813722113d59c0', 'f12463806114357190101d58c0', 'f10867730364973704561d58c0', 'f13131185788931716306d59c0', 'f13435559512803456464d58c0', 'f11992149132381383671d58c0', 'f10066100219999464847d58c0', 'f16898272132998346231d57c0', 'f16215034424079262380d57c0', 'f14682020245069805028d56c0', 'f15100437310718787564d56c0', 'f17728900708806343732d56c0', 'f15799511462421525538d57c0', 'f15199342879553262444d58c0', 'f17054957242815250228d59c0', 'f13854475521557720146d57c0', 'f17925485996746655603d57c0', 'f14529812298476124708d56c0', 'f15313002787195183738d57c0', 'f17603435889482562803d57c0', 'f10018070278921799298d56c0', 'f9843673403134696552d55c0', 'f17891098694463651222d56c0', 'f13890216450612762534d53c0', 'f15912280839992863370d53c0', 'f14233239594757083338d52c0', 'f13935935795916784042d54c0', 'f10431016727599998749d56c0', 'f9860458693945545549d55c0', 'f15321149809969287119d59c0', 'f9744912284261363906d57c0', 'f16710887925747606384d56c0', 'f17597366016199662550d55c0']","['f15548296755550892461d49c0', 'f15870557633898451002d49c0', 'f14945045728689059625d49c0', 'f16024232100814779823d49c0', 'f13907158908230506257d50c0', 'f14297991714946657853d49c0', 'f14037723084837998725d49c0', 'f16366098197415811732d49c0', 'f14295943485407192371d50c0', 'f13028149816462911020d47c0', 'f18147540003621198832d49c0', 'f14220505661474714420d50c0', 'f11004745625537655387d50c0', 'f16216255605127336373d51c0', 'f15470299640708120729d52c0', 'f18078583483845496091d54c0', 'f10825954228372956996d55c0', 'f17724705222914411533d55c0', 'f12856713810941990148d56c0', 'f16738986109855282170d57c0', 'f16622842805154206378d54c0', 'f13028338026179786943d55c0', 'f10712351111666438147d53c0', 'f12953049351117916936d53c0', 'f17490817129961135107d53c0', 'f9487823543526729428d55c0', 'f12369776301543413598d52c0', 'f17913639426036115771d53c0', 'f17996144359157988514d55c0', 'f12983187826109170967d55c0', 'f10741954781652427349d52c0', 'f14698773963066980093d53c0', 'f15044374906625862913d52c0', 'f14543149890444230292d53c0', 'f11254914755469618752d53c0', 'f11194783598273534598d53c0', 'f11406612649056490176d52c0', 'f9710168740353337955d54c0', 'f10493155176353918789d54c0', 'f16157229489580884307d54c0', 'f12754835264562424054d54c0', 'f18174444419603018447d56c0', 'f10790898210810572346d55c0', 'f16434494777776430876d53c0', 'f14587783646543698206d52c0', 'f15449338737104184642d52c0', 'f9652524334172725732d55c0', 'f15421966478105499397d51c0', 'f9477239143707082255d50c0', 'f11304776110458479789d52c0', 'f11283556443247850830d51c0', 'f17330738617016383238d53c0', 'f16442352238265396068d52c0', 'f13232428167590758641d53c0', 'f9630025440405455035d52c0', 'f10732320950419372308d50c0', 'f14544024221626825690d52c0', 'f16359905686524890028d53c0', 'f9856456626913956869d52c0', 'f14655585044194516714d53c0', 'f17391701407082978603d52c0', 'f13703987523037917812d52c0', 'f9426000833148019826d53c0', 'f16427768820614551120d54c0', 'f9489607043854136673d51c0', 'f9479189532615875390d53c0', 'f13916270719763052889d53c0', 'f13147976720012859734d56c0', 'f17550344380050130033d56c0', 'f11531668489471609011d54c0', 'f17565811292479092551d52c0', 'f13668495686408195450d52c0', 'f13029086535800686298d51c0', 'f12525049740044888737d54c0', 'f15496918078893127611d52c0', 'f12887746531311707793d54c0', 'f13014819610575499542d51c0', 'f16860333076868385907d53c0', 'f18323826532076491044d54c0', 'f15521376852727190478d52c0', 'f13164559272269659256d52c0', 'f13707337293015627576d53c0', 'f9863619935271975090d53c0', 'f14465421494499165918d52c0', 'f17685360248834011520d54c0', 'f17797008486400364789d54c0', 'f11089165422813722113d55c0', 'f12463806114357190101d55c0', 'f10867730364973704561d54c0', 'f13131185788931716306d54c0', 'f13435559512803456464d53c0', 'f11992149132381383671d53c0', 'f10066100219999464847d54c0', 'f16898272132998346231d53c0', 'f16215034424079262380d52c0', 'f14682020245069805028d52c0', 'f15100437310718787564d51c0', 'f17728900708806343732d52c0', 'f15799511462421525538d53c0', 'f15199342879553262444d53c0', 'f17054957242815250228d54c0', 'f13854475521557720146d54c0', 'f17925485996746655603d54c0', 'f14529812298476124708d52c0', 'f15313002787195183738d54c0', 'f17603435889482562803d53c0', 'f10018070278921799298d53c0', 'f9843673403134696552d52c0', 'f17891098694463651222d52c0', 'f13890216450612762534d50c0', 'f15912280839992863370d50c0', 'f14233239594757083338d49c0', 'f13935935795916784042d51c0', 'f10431016727599998749d53c0', 'f9860458693945545549d52c0', 'f15321149809969287119d55c0', 'f9744912284261363906d53c0', 'f16710887925747606384d52c0', 'f17597366016199662550d50c0']","[1468933804.843098, 1468933805.174154, 1468933805.506384, 1468933805.838737, 1468933806.170344, 1468933806.502986, 1468933806.834801, 1468933807.167752, 1468933807.49955, 1468933807.831636, 1468933808.16537, 1468933808.496135, 1468933808.828569, 1468933809.163118, 1468933809.492692, 1468933809.825173, 1468933810.158436, 1468933810.489465, 1468933810.821272, 1468933811.154657, 1468933811.486059, 1468933811.817963, 1468933812.150555, 1468933812.48245, 1468933812.814882, 1468933813.146961, 1468933813.479093, 1468933813.811472, 1468933814.47602, 1468933814.808232, 1468933815.140368, 1468933815.472849, 1468933815.804977, 1468933816.136941, 1468933816.469032, 1468933816.801497, 1468933817.133628, 1468933817.465525, 1468933817.797705, 1468933818.12995, 1468933818.462156, 1468933818.794285, 1468933819.12662, 1468933819.459031, 1468933819.790979, 1468933820.123508, 1468933820.455377, 1468933820.787475, 1468933821.119728, 1468933821.452345, 1468933821.784273, 1468933822.116598, 1468933822.448957, 1468933822.780716, 1468933823.113259, 1468933823.445475, 1468933823.777414, 1468933824.110002, 1468933824.441869, 1468933824.77401, 1468933825.107937, 1468933825.438699, 1468933825.77113, 1468933826.102778, 1468933826.435366, 1468933826.767385, 1468933827.102361, 1468933827.431886, 1468933827.76411, 1468933828.096579, 1468933828.428648, 1468933828.760883, 1468933829.092951, 1468933829.425065, 1468933829.757337, 1468933830.089631, 1468933830.421921, 1468933830.754002, 1468933831.085971, 1468933831.418222, 1468933831.750466, 1468933832.082578, 1468933832.414716, 1468933832.747091, 1468933833.079058, 1468933833.411364, 1468933833.743564, 1468933834.07583, 1468933834.407926, 1468933834.740283, 1468933835.072734, 1468933835.404669, 1468933835.73667, 1468933836.069004, 1468933836.401457, 1468933836.733606, 1468933837.065715, 1468933837.397816, 1468933837.730052, 1468933838.062343, 1468933838.394544, 1468933838.726837, 1468933839.058973, 1468933839.391132, 1468933839.7233, 1468933840.055609, 1468933840.387719, 1468933840.719991, 1468933841.052142, 1468933841.384511, 1468933841.716229, 1468933842.048446, 1468933842.381004, 1468933842.713151, 1468933843.045452, 1468933843.377813, 1468933843.709769, 1468933844.042006, 1468933844.374029]","['15548296755550892461', '15870557633898451002', '14945045728689059625', '16024232100814779823', '13907158908230506257', '14297991714946657853', '14037723084837998725', '16366098197415811732', '14295943485407192371', '13028149816462911020', '18147540003621198832', '14220505661474714420', '11004745625537655387', '16216255605127336373', '15470299640708120729', '18078583483845496091', '10825954228372956996', '17724705222914411533', '12856713810941990148', '16738986109855282170', '16622842805154206378', '13028338026179786943', '10712351111666438147', '12953049351117916936', '17490817129961135107', '9487823543526729428', '12369776301543413598', '17913639426036115771', '17996144359157988514', '12983187826109170967', '10741954781652427349', '14698773963066980093', '15044374906625862913', '14543149890444230292', '11254914755469618752', '11194783598273534598', '11406612649056490176', '9710168740353337955', '10493155176353918789', '16157229489580884307', '12754835264562424054', '18174444419603018447', '10790898210810572346', '16434494777776430876', '14587783646543698206', '15449338737104184642', '9652524334172725732', '15421966478105499397', '9477239143707082255', '11304776110458479789', '11283556443247850830', '17330738617016383238', '16442352238265396068', '13232428167590758641', '9630025440405455035', '10732320950419372308', '14544024221626825690', '16359905686524890028', '9856456626913956869', '14655585044194516714', '17391701407082978603', '13703987523037917812', '9426000833148019826', '16427768820614551120', '9489607043854136673', '9479189532615875390', '13916270719763052889', '13147976720012859734', '17550344380050130033', '11531668489471609011', '17565811292479092551', '13668495686408195450', '13029086535800686298', '12525049740044888737', '15496918078893127611', '12887746531311707793', '13014819610575499542', '16860333076868385907', '18323826532076491044', '15521376852727190478', '13164559272269659256', '13707337293015627576', '9863619935271975090', '14465421494499165918', '17685360248834011520', '17797008486400364789', '11089165422813722113', '12463806114357190101', '10867730364973704561', '13131185788931716306', '13435559512803456464', '11992149132381383671', '10066100219999464847', '16898272132998346231', '16215034424079262380', '14682020245069805028', '15100437310718787564', '17728900708806343732', '15799511462421525538', '15199342879553262444', '17054957242815250228', '13854475521557720146', '17925485996746655603', '14529812298476124708', '15313002787195183738', '17603435889482562803', '10018070278921799298', '9843673403134696552', '17891098694463651222', '13890216450612762534', '15912280839992863370', '14233239594757083338', '13935935795916784042', '10431016727599998749', '9860458693945545549', '15321149809969287119', '9744912284261363906', '16710887925747606384', '17597366016199662550']",0,y,y,y,2,109,
